zhiying,50
zhisun,50
shenglv,0.5098039215686274
exp,-3.0196078431372584
total,-1.5400000000000018
 , 
zhiying,50
zhisun,60
shenglv,0.5294117647058824
exp,-5.764705882352942
total,-2.940000000000001
 , 
zhiying,50
zhisun,70
shenglv,0.5490196078431373
exp,-8.117647058823522
total,-4.139999999999996
 , 
zhiying,50
zhisun,80
shenglv,0.5882352941176471
exp,-7.5294117647058805
total,-3.839999999999999
 , 
zhiying,50
zhisun,90
shenglv,0.5882352941176471
exp,-11.64705882352941
total,-5.939999999999999
 , 
zhiying,50
zhisun,100
shenglv,0.6274509803921569
exp,-9.882352941176475
total,-5.040000000000003
 , 
zhiying,50
zhisun,110
shenglv,0.6666666666666666
exp,-7.333333333333343
total,-3.7400000000000047
 , 
zhiying,50
zhisun,120
shenglv,0.7058823529411765
exp,-3.999999999999986
total,-2.0399999999999925
 , 
zhiying,50
zhisun,130
shenglv,0.7058823529411765
exp,-6.941176470588225
total,-3.539999999999995
 , 
zhiying,50
zhisun,140
shenglv,0.7254901960784313
exp,-6.156862745098039
total,-3.14
 , 
zhiying,50
zhisun,150
shenglv,0.7755102040816326
exp,1.1020408163265216
total,0.5399999999999956
 , 
zhiying,50
zhisun,160
shenglv,0.7959183673469388
exp,3.142857142857146
total,1.5400000000000014
 , 
zhiying,50
zhisun,170
shenglv,0.8163265306122449
exp,5.591836734693885
total,2.7400000000000033
 , 
zhiying,50
zhisun,180
shenglv,0.8163265306122449
exp,3.7551020408163325
total,1.840000000000003
 , 
zhiying,50
zhisun,190
shenglv,0.8367346938775511
exp,6.816326530612255
total,3.3400000000000047
 , 
zhiying,50
zhisun,200
shenglv,0.8571428571428571
exp,10.28571428571427
total,5.039999999999993
 , 
zhiying,50
zhisun,210
shenglv,0.8571428571428571
exp,8.857142857142843
total,4.339999999999994
 , 
zhiying,50
zhisun,220
shenglv,0.8571428571428571
exp,7.428571428571409
total,3.6399999999999904
 , 
zhiying,50
zhisun,230
shenglv,0.8571428571428571
exp,5.999999999999986
total,2.9399999999999933
 , 
zhiying,50
zhisun,240
shenglv,0.8571428571428571
exp,4.571428571428555
total,2.239999999999992
 , 
zhiying,50
zhisun,250
shenglv,0.8571428571428571
exp,3.1428571428571246
total,1.539999999999991
 , 
zhiying,50
zhisun,260
shenglv,0.8571428571428571
exp,1.714285714285694
total,0.8399999999999901
 , 
zhiying,50
zhisun,270
shenglv,0.8571428571428571
exp,0.2857142857142705
total,0.13999999999999255
 , 
zhiying,50
zhisun,280
shenglv,0.8571428571428571
exp,-1.1428571428571601
total,-0.5600000000000085
 , 
zhiying,50
zhisun,290
shenglv,0.8571428571428571
exp,-2.5714285714285907
total,-1.2600000000000093
 , 
zhiying,50
zhisun,300
shenglv,0.8571428571428571
exp,-4.000000000000021
total,-1.9600000000000106
 , 
zhiying,50
zhisun,310
shenglv,0.8571428571428571
exp,-5.428571428571452
total,-2.6600000000000112
 , 
zhiying,50
zhisun,320
shenglv,0.8571428571428571
exp,-6.857142857142875
total,-3.360000000000009
 , 
zhiying,50
zhisun,330
shenglv,0.8571428571428571
exp,-8.285714285714306
total,-4.06000000000001
 , 
zhiying,50
zhisun,340
shenglv,0.8775510204081632
exp,-1.7551020408163325
total,-0.8600000000000029
 , 
zhiying,50
zhisun,350
shenglv,0.9183673469387755
exp,13.346938775510214
total,6.5400000000000045
 , 
zhiying,50
zhisun,360
shenglv,0.9183673469387755
exp,12.530612244897966
total,6.140000000000003
 , 
zhiying,50
zhisun,370
shenglv,0.9183673469387755
exp,11.714285714285722
total,5.740000000000005
 , 
zhiying,50
zhisun,380
shenglv,0.9183673469387755
exp,10.897959183673478
total,5.340000000000004
 , 
zhiying,50
zhisun,390
shenglv,0.9183673469387755
exp,10.081632653061234
total,4.940000000000005
 , 
zhiying,60
zhisun,50
shenglv,0.45098039215686275
exp,-4.3921568627451
total,-2.240000000000001
 , 
zhiying,60
zhisun,60
shenglv,0.47058823529411764
exp,-7.529411764705884
total,-3.840000000000001
 , 
zhiying,60
zhisun,70
shenglv,0.5098039215686274
exp,-7.7254901960784395
total,-3.940000000000004
 , 
zhiying,60
zhisun,80
shenglv,0.5490196078431373
exp,-7.137254901960773
total,-3.6399999999999944
 , 
zhiying,60
zhisun,90
shenglv,0.5490196078431373
exp,-11.647058823529406
total,-5.939999999999997
 , 
zhiying,60
zhisun,100
shenglv,0.5490196078431373
exp,-16.15686274509803
total,-8.239999999999997
 , 
zhiying,60
zhisun,110
shenglv,0.5882352941176471
exp,-13.999999999999993
total,-7.139999999999997
 , 
zhiying,60
zhisun,120
shenglv,0.6274509803921569
exp,-11.058823529411761
total,-5.639999999999998
 , 
zhiying,60
zhisun,130
shenglv,0.6274509803921569
exp,-14.784313725490193
total,-7.539999999999999
 , 
zhiying,60
zhisun,140
shenglv,0.6470588235294118
exp,-14.588235294117645
total,-7.439999999999999
 , 
zhiying,60
zhisun,150
shenglv,0.6938775510204082
exp,-8.285714285714292
total,-4.060000000000003
 , 
zhiying,60
zhisun,160
shenglv,0.7346938775510204
exp,-2.3673469387754977
total,-1.159999999999994
 , 
zhiying,60
zhisun,170
shenglv,0.7551020408163265
exp,-0.326530612244909
total,-0.16000000000000542
 , 
zhiying,60
zhisun,180
shenglv,0.7551020408163265
exp,-2.775510204081641
total,-1.360000000000004
 , 
zhiying,60
zhisun,190
shenglv,0.7551020408163265
exp,-5.22448979591838
total,-2.5600000000000063
 , 
zhiying,60
zhisun,200
shenglv,0.7755102040816326
exp,-2.367346938775512
total,-1.1600000000000008
 , 
zhiying,60
zhisun,210
shenglv,0.7755102040816326
exp,-4.612244897959187
total,-2.2600000000000016
 , 
zhiying,60
zhisun,220
shenglv,0.7755102040816326
exp,-6.857142857142861
total,-3.3600000000000025
 , 
zhiying,60
zhisun,230
shenglv,0.7755102040816326
exp,-9.102040816326536
total,-4.460000000000003
 , 
zhiying,60
zhisun,240
shenglv,0.7755102040816326
exp,-11.34693877551021
total,-5.560000000000003
 , 
zhiying,60
zhisun,250
shenglv,0.7755102040816326
exp,-13.591836734693885
total,-6.660000000000004
 , 
zhiying,60
zhisun,260
shenglv,0.7755102040816326
exp,-15.83673469387756
total,-7.760000000000005
 , 
zhiying,60
zhisun,270
shenglv,0.7755102040816326
exp,-18.081632653061227
total,-8.860000000000001
 , 
zhiying,60
zhisun,280
shenglv,0.7755102040816326
exp,-20.326530612244902
total,-9.960000000000003
 , 
zhiying,60
zhisun,290
shenglv,0.7755102040816326
exp,-22.571428571428584
total,-11.060000000000008
 , 
zhiying,60
zhisun,300
shenglv,0.7755102040816326
exp,-24.816326530612244
total,-12.16
 , 
zhiying,60
zhisun,310
shenglv,0.7755102040816326
exp,-27.06122448979592
total,-13.26
 , 
zhiying,60
zhisun,320
shenglv,0.7755102040816326
exp,-29.306122448979593
total,-14.36
 , 
zhiying,60
zhisun,330
shenglv,0.7755102040816326
exp,-31.551020408163268
total,-15.460000000000003
 , 
zhiying,60
zhisun,340
shenglv,0.7959183673469388
exp,-25.632653061224488
total,-12.56
 , 
zhiying,60
zhisun,350
shenglv,0.8367346938775511
exp,-10.93877551020406
total,-5.35999999999999
 , 
zhiying,60
zhisun,360
shenglv,0.8367346938775511
exp,-12.571428571428555
total,-6.159999999999992
 , 
zhiying,60
zhisun,370
shenglv,0.8367346938775511
exp,-14.204081632653043
total,-6.959999999999991
 , 
zhiying,60
zhisun,380
shenglv,0.8367346938775511
exp,-15.836734693877531
total,-7.759999999999991
 , 
zhiying,60
zhisun,390
shenglv,0.8367346938775511
exp,-17.46938775510202
total,-8.55999999999999
 , 
zhiying,70
zhisun,50
shenglv,0.35294117647058826
exp,-11.647058823529406
total,-5.939999999999997
 , 
zhiying,70
zhisun,60
shenglv,0.37254901960784315
exp,-15.56862745098039
total,-7.939999999999999
 , 
zhiying,70
zhisun,70
shenglv,0.43137254901960786
exp,-13.6078431372549
total,-6.939999999999999
 , 
zhiying,70
zhisun,80
shenglv,0.49019607843137253
exp,-10.470588235294116
total,-5.339999999999999
 , 
zhiying,70
zhisun,90
shenglv,0.5098039215686274
exp,-12.431372549019613
total,-6.3400000000000025
 , 
zhiying,70
zhisun,100
shenglv,0.5294117647058824
exp,-13.999999999999993
total,-7.139999999999997
 , 
zhiying,70
zhisun,110
shenglv,0.5686274509803921
exp,-11.647058823529413
total,-5.940000000000001
 , 
zhiying,70
zhisun,120
shenglv,0.6078431372549019
exp,-8.509803921568633
total,-4.3400000000000025
 , 
zhiying,70
zhisun,130
shenglv,0.6078431372549019
exp,-12.431372549019613
total,-6.3400000000000025
 , 
zhiying,70
zhisun,140
shenglv,0.6274509803921569
exp,-12.235294117647058
total,-6.24
 , 
zhiying,70
zhisun,150
shenglv,0.6938775510204082
exp,-1.3469387755102105
total,-0.6600000000000031
 , 
zhiying,70
zhisun,160
shenglv,0.7346938775510204
exp,4.979591836734706
total,2.4400000000000057
 , 
zhiying,70
zhisun,170
shenglv,0.7551020408163265
exp,7.224489795918352
total,3.5399999999999925
 , 
zhiying,70
zhisun,180
shenglv,0.7551020408163265
exp,4.77551020408162
total,2.3399999999999936
 , 
zhiying,70
zhisun,190
shenglv,0.7551020408163265
exp,2.3265306122448806
total,1.1399999999999915
 , 
zhiying,70
zhisun,200
shenglv,0.7755102040816326
exp,5.387755102040813
total,2.639999999999999
 , 
zhiying,70
zhisun,210
shenglv,0.7755102040816326
exp,3.142857142857139
total,1.539999999999998
 , 
zhiying,70
zhisun,220
shenglv,0.7755102040816326
exp,0.8979591836734642
total,0.43999999999999745
 , 
zhiying,70
zhisun,230
shenglv,0.7755102040816326
exp,-1.3469387755102105
total,-0.6600000000000031
 , 
zhiying,70
zhisun,240
shenglv,0.7755102040816326
exp,-3.591836734693885
total,-1.7600000000000038
 , 
zhiying,70
zhisun,250
shenglv,0.7755102040816326
exp,-5.83673469387756
total,-2.8600000000000048
 , 
